BubbleSort;ABCSort
8267;7275
9686;8040
8345;8891
9305;6930
12016;9695
11415;7132
11386;6851
10143;6859
10136;6629
12563;7474
10478;7676
13334;9306
11523;8306
10935;8190
10724;7643
8689;6937
9290;7008
11265;7935
9606;6566
11720;8375
10888;8092
11311;7906
14799;10257
10963;7838
10347;7012
10123;7115
10002;7170
9742;7379
11157;6573
12916;8376
12317;8645
11537;8144
11832;7253
12123;7997
9805;6673
9492;10154
12180;7647
12379;11421
15437;9446
14810;10467
13528;7698
16285;8940
12424;11067
12926;8920
12145;9438
12687;8756
13978;9410
13902;8399
13187;8893
15125;8641
12315;8187
11658;8004
13412;10391
13670;9443
16745;13038
18557;10619
13206;11790
13675;9240
13398;10064
14148;9888
14222;9398
13799;9511
14009;10805
14380;9623
15212;11572
16063;12501
25696;11992
16318;9772
16271;12427
16145;18553
15946;21510
15578;9942
14278;10619
16226;11020
20389;11885
15429;10385
17755;10337
16228;10815
17278;8960
16376;9622
17241;12582
24761;15870
24658;11831
16569;11801
16480;10276
17303;10336
20273;20452
21955;15175
22335;15807
16972;11059
17281;10776
16119;10731
17265;10467
18285;10474
18745;10746
18512;11367
17181;9300
16199;10509
18829;8824
14844;8602
14770;8841
14634;8917
20800;8944
18187;8919
16765;9167
20839;9874
16669;9831
16590;9506
15931;10143
15445;9304
16292;9110
15833;9184
25616;9269
19609;9264
20959;9474
18461;9839
16656;12942
22391;10863
16577;9343
23519;9625
24273;10202
17638;9981
18836;10121
17388;9721
17476;9716
17027;9630
16952;9892
21413;9621
22688;10041
19647;9904
18186;11267
18526;11226
19483;10808
20451;12406
21505;10940
18109;10191
21898;10345
20928;10259
18149;10468
18414;10347
23485;12376
19066;10677
18693;10217
18935;14123
25365;10536
30815;10978
21950;12159
21472;10680
22268;10682
25516;10486
18944;10543
19084;11094
19183;11363
19387;12986
24026;10893
23897;10834
19748;11086
20056;15923
25985;13759
31570;12982
30185;15729
29789;13567
32395;14471
25092;15154
24341;14736
25235;11693
21470;12185
25045;13938
24701;11710
28493;13366
25674;12372
24187;13194
24299;12258
22111;11410
21559;11296
21596;11202
21823;11473
22083;11271
22040;11178
22366;11732
22632;12017
26488;13925
29412;13379
27233;12091
28446;13219
25237;11958
23752;12341
23408;11989
28675;14658
27064;15262
25650;13985
27958;14740
27247;12266
23871;12383
25286;13854
26365;13800
29658;13923
29580;12331
25035;12867
25040;12715
29815;14316
28096;15220
29419;13977
27986;12725
30109;17668
33221;12598
29864;12373
30266;13026
25941;12861
26033;13035
31813;13426
34108;17400
29007;13321
27693;13183
29733;15584
29201;14747
28736;14846
32666;13228
33268;14950
28736;15225
28896;13412
30962;14473
28374;13297
28095;13560
27819;13328
28640;13671
28247;13896
28397;13452
29181;13665
30421;14812
30702;15399
35183;14097
32462;14083
33381;14512
35551;14781
29631;13962
32961;13685
28941;13896
29494;14598
34787;15912
32126;14361
36519;17763
34981;14493
30965;14196
30644;14100
30767;14234
31536;14629
33211;15749
33048;14659
31714;14213
31343;14612
37621;14298
37540;14511
31978;14771
32473;14876
39736;17891
35495;21469
36264;15155
32650;14579
38778;15172
36112;15585
33371;15321
33158;14946
42845;16669
42853;15384
41916;15033
43029;16393
38325;15158
33034;14658
38303;15302
39930;15514
39112;16053
40469;17442
41223;16223
34850;14894
40691;15865
35296;17358
40585;17189
45139;18285
38893;16433
36869;15729
35541;15633
35811;15997
36119;15840
36356;16254
36665;16769
44229;16904
37891;16839
36552;16354
36821;16305
37321;16093
37196;16645
43059;16883
42871;19185
40437;16489
37090;15644
42503;16653
37871;16509
43707;16644
40586;16208
45673;16909
39366;17089
39508;16363
38677;16901
38808;16851
44006;16398
45926;17925
49640;18924
45499;16936
45323;16729
39682;16637
41600;20128
46910;17149
49008;17364
41521;18330
43406;17676
43120;19650
42843;17362
41140;17499
52124;18779
46649;17498
48565;19462
46609;17819
50669;17234
42700;17129
48443;18199
48113;21328
48079;17847
42601;19916
47101;17216
50155;17510
43022;17656
58451;21924
60996;18107
44011;17962
44249;17951
46863;21278
43069;17840
50613;20672
47145;17950
49566;17754
44087;17906
44192;17964
51266;20820
49146;20073
47250;18244
45180;18443
45508;18360
45997;18658
46100;18509
57735;19935
51977;20773
47399;18679
46869;18432
46663;23896
48122;19092
55843;19212
47275;18944
52000;18926
47535;19298
47629;19083
48071;20613
54534;19267
54348;18576
60372;18927
58721;19299
53895;18833
59788;19950
52131;19503
49070;19476
50483;19301
49168;19109
50325;26197
81842;25985
49696;19248
53375;20024
52449;19528
50177;19958
58768;21480
57408;22582
51966;19712
51275;19562
60645;19987
65927;21716
53680;20912
54323;24724
56607;22138
53824;19986
58572;20871
61138;20495
55598;20240
51542;25227
54481;19628
51989;19764
54509;21321
56903;20312
59980;19966
57145;21693
61907;20341
64217;22114
57420;20127
53345;21059
56902;22719
58472;23622
60154;21640
60018;24656
59690;24903
55138;26579
63267;20429
66995;28145
61641;24377
64986;24385
60601;20284
55529;20755
62611;22202
59114;20789
57987;21675
58189;21682
58418;21392
66779;21895
59867;21035
57701;25493
59951;22719
70988;24641
67563;22894
67207;21302
63944;22095
58283;21181
60510;25176
61756;21495
60986;24845
60179;27397
68783;27664
66169;22505
67874;21614
64829;21727
64957;26157
70025;24342
66827;29027
63665;22443
61595;22595
62423;22000
76686;23773
64972;22886
67814;22879
63434;22512
67045;27848
71646;22067
63172;22569
63403;22347
63958;23194
76012;25739
64252;22547
64158;22669
64935;22636
66960;24457
75200;22667
86197;23035
70545;22938
67126;23123
68069;22954
74785;22911
77887;26181
76041;23360
76369;23043
71322;22673
65783;23010
72305;23967
71454;23147
74370;27910
71865;23110
70212;23349
81477;28035
75368;23452
68122;23701
68190;23615
71689;28504
71521;22944
73708;23946
77897;24565
76703;24479
79623;27355
78287;23981
75418;23906
70191;24329
78000;27698
75931;25645
75253;27694
72702;24541
75598;24038
69325;23769
76107;24275
80220;28653
78140;23630
81066;24217
76774;23864
76556;27601
76577;24016
78106;24728
73079;24655
74089;26550
90094;29140
75572;24441
78403;30585
75924;25575
87432;28457
79144;25283
75563;31125
86122;25221
80561;25412
75324;25341
81353;27868
81495;27573
80012;26134
80981;31423
89059;28955
77947;25687
86446;25305
83573;25305
81955;24874
81204;25442
78361;25747
78061;25780
81844;26903
79859;26261
79192;25963
79364;29566
87831;28257
78852;25854
83173;26876
79877;26885
88047;30135
84238;26182
89179;26956
84144;34549
81963;26241
90585;25906
86660;26140
90573;29251
92432;26145
92195;26508
89887;27305
83882;25976
86446;26736
93882;26640
90188;26543
83615;31026
88769;30215
91047;28374
91997;28821
90369;33166
86844;34486
94954;30297
93257;27756
89242;26611
94291;29344
94272;26465
90136;27134
99308;28445
91176;28888
86364;27193
96387;27173
92740;28572
85800;26801
91871;30860
91933;33675
98540;28010
96881;27335
97301;27605
90818;28541
90482;27954
97050;27433
88056;30668
91970;28122
99707;27800
95922;28071
96673;28968
103697;33276
94443;28271
90974;29837
110441;28050
96858;28449
99647;27952
94266;32019
96316;27532
107038;29208
98013;28167
96331;28346
99125;29306
100768;28154
98345;28394
92866;29335
97848;29483
93884;30198
95193;28832
107226;30143
97804;28584
104462;28880
116666;36036
105214;29013
106933;29031
107040;33209
94873;29187
102032;29429
113244;29402
100716;28842
94749;28725
111797;31550
102774;29336
102061;29228
112878;29635
107529;29728
111873;30021
110400;31274
104745;34275
109522;30112
110854;30493
105450;29363
98691;30600
120044;43958
132136;31568
104346;32739
102690;30068
101036;31198
112967;30589
115561;34756
102370;30376
101626;31332
105976;32589
101181;30062
116269;40289
106057;29907
106252;30606
123598;32464
106960;30489
116357;31203
118908;37545
106651;30529
110004;32342
112818;31464
110173;30911
111703;34053
119770;32105
115516;32178
128826;32939
106012;31516
108506;31484
118722;31865
113795;31482
112116;39293
117499;33750
114045;32227
117909;34250
115983;32498
113319;31696
121411;37825
118081;35510
121526;31146
125988;33436
116518;39552
123307;35493
116154;34750
108996;32935
120849;32424
109793;31959
110309;38008
135153;32100
129770;31885
114855;37157
117747;31898
109632;32170
125161;32072
115213;31642
115827;36563
136902;31906
122084;32383
113680;36114
121064;32556
120010;32249
129201;32873
126565;36502
119461;33402
122317;33021
115741;32288
128303;33118
125985;32861
131057;36586
119636;32795
124086;33141
124606;37568
128662;33765
122509;33853
132182;33106
114568;33278
116321;38309
124457;33644
121844;33020
124498;34057
127437;34225
128240;36344
124362;33128
125293;34062
138252;33865
129417;33714
123867;40443
124842;33586
130030;34159
132478;39574
122976;44256
140175;40717
130694;35129
141344;43046
151498;34959
141046;34228
128599;34341
127305;34615
127832;36096
125961;34917
123752;34707
135406;35760
127747;34247
131864;35300
126497;34784
137140;34350
130639;37719
133027;34824
148807;35976
134281;40541
129342;38187
131744;35790
127217;35188
138499;35998
131745;42937
135316;36060
134302;35553
138379;36277
136994;37694
130365;35852
134819;40324
137341;35497
138355;36151
141507;36293
130246;36128
141946;36435
131660;35883
134991;44344
140205;36236
138056;47364
136918;40219
143571;36392
148277;35761
145677;36072
148203;36567
133598;36384
145731;43922
142176;36695
134254;37620
172901;48744
147741;37335
138693;37402
146292;37325
148995;36585
146764;36627
149323;36632
146366;37320
146757;42380
142352;37040
150210;42994
135267;36069
143637;37894
145596;43094
145444;42912
153076;38136
148623;36811
152060;37475
151084;42455
145001;39742
146855;37080
144386;48167
144837;37124
138025;43512
145545;37253
146220;39201
163703;38213
146918;37604
160997;37679
149674;38423
150791;38061
149331;38586
158137;40661
150322;37343
154297;40093
165511;38234
149527;41200
145110;39253
146363;40638
157856;44171
146559;39398
150610;38384
147133;39488
159337;44163
147180;39031
164302;38781
154698;38834
167856;42641
158924;38072
173871;38797
149483;39256
157671;38738
153888;39361
155648;38662
171837;38941
160730;39218
155629;38511
165620;39473
161875;39157
189892;39015
157773;39586
165270;45542
152974;39731
158698;39328
150517;39280
159009;49315
155808;42817
157801;39540
159149;40599
159749;40808
155120;40296
159360;40764
157335;39610
161984;41018
152720;39560
165199;49425
170740;40704
166193;40865
163887;49708
169888;43033
163105;39939
164998;39938
163061;40501
171532;45640
163920;40114
162837;40933
160286;40676
172442;41326
159655;41023
167043;41371
161049;41526
171758;40587
162873;40244
166148;41731
169348;41144
171495;41634
163300;42079
175951;40791
168761;49061
168690;44739
169838;46611
169299;41720
165143;49064
167524;44909
167059;49648
174229;41823
184561;41199
180902;41763
190641;48177
175270;41390
176000;51111
176659;42837
186182;41602
171438;52485
177467;42546
168900;48789
174380;41337
180373;43502
174335;43458
178367;46806
167921;42975
178190;42697
196817;42060
182040;42480
176451;56333
188245;47886
175274;48039
184512;45069
188102;43515
179132;43806
179607;47495
180993;48635
180790;44066
181637;43466
178877;42175
179146;43795
177143;42947
176465;45816
198798;49169
180997;52577
177946;42455
181383;42879
182867;44377
182793;43244
177467;43479
188788;49232
183064;47962
182656;43163
181178;45917
196470;43943
204931;47690
188755;50488
187109;50969
180294;50066
179138;48877
194689;50560
177588;43851
185868;44905
190053;49735
192790;50677
183020;45043
202264;44823
192011;49209
186157;44099
195707;44694
188512;46782
190844;45218
196855;50731
185170;44040
195053;44240
197865;44527
194212;45383
192294;57608
202201;44836
210173;49773
192332;47123
200624;46011
198891;50531
191867;46427
207422;48156
198157;47265
193138;45556
199807;47336
190737;46730
219469;45253
195709;58218
200507;47454
199583;46921
192672;46595
208648;46881
192784;49331
196907;45458
210644;52292
199484;49916
207301;47036
199548;50300
195306;46801
210950;57516
209119;48472
197870;46392
207303;53477
205132;46402
224420;51921
199425;48608
200556;45971
210845;50259
199752;47691
205243;46731
211776;48706
202424;47105
207602;48519
216060;50597
213972;46473
209630;47977
202930;55247
212279;50790
209183;48512
201603;50036
219978;48159
244393;54551
204821;51101
209003;47193
217397;47505
206844;47474
218924;48458
224014;50247
211283;47215
207446;48287
217069;52967
208778;48856
227136;54079
213232;50945
225403;48779
216478;56850
233850;54926
235553;52076
310147;57007
237877;48870
224679;54725
230387;47698
214841;48240
217317;50167
213825;48618
215649;51885
215763;51097
211699;53706
227130;50159
219070;55638
215855;49791
223234;50201
218942;52892
215147;49365
236029;50070
220758;51560
212275;56169
240721;56863
224295;56935
219863;50562
221636;50076
225870;54198
227117;52296
236879;50962
228993;56625
218369;50735
229523;50072
230655;55635
233465;54425
229914;56169
241175;53153
221786;54760
220108;49683
232934;51275
221400;54908
223377;50241
230092;60806
220882;56067
225761;58542
251037;59470
227666;59426
223308;51635
240129;51172
243465;50843
229648;55156
229138;50230
242051;51561
234868;53313
225125;50934
238932;52358
235682;60162
226276;51280
247261;51906
239112;52318
226487;52004
232394;52923
233034;52988
230098;53142
236205;52898
237355;51503
246665;59335
238346;52224
250439;56267
237464;54797
245671;52028
243301;52705
252025;51944
237047;53671
233315;56353
248109;52197
250637;61876
265845;58609
239727;53589
240780;53756
250889;53911
242299;58535
244425;61051
240396;54143
239458;54015
241755;71358
249416;78674
248768;54224
243207;52773
250265;57434
243519;57301
259646;53005
249438;54866
243159;62562
248865;65426
255907;54965
255314;56899
263685;60866
246771;60071
249845;53000
246904;54912
248097;54529
247840;56026
267332;54186
259636;58114
255145;55296
267698;55750
259989;53601
255236;54207
256414;53824
256762;57305
250877;54377
264100;55602
273153;63288
263642;57076
255564;56513
267232;59196
252449;56285
258203;57277
257803;61007
256795;53682
262249;56078
269219;61933
260826;56460
256303;56165
267206;56322
277645;60902
260803;59532
270738;55260
264608;56126
267424;55325
285860;56048
253823;57659
253387;56123
269854;64591
267346;54971
261673;61411
274080;61711
265336;55959
274780;57707
266029;57356
258730;61446
262501;55222
261606;57167
266352;56658
272500;57051
268376;65959
278045;56905
277146;69655
271363;61329
270740;55903
271563;56531
279226;64451
280242;56296
296073;60134
292266;55925
279759;57731
282010;57676
266648;72427
270646;56001
273752;56253
270268;57194
275835;59926
285916;68398
272395;70260
279101;57271
270285;58231
272917;59988
283213;57393
274283;59114
272578;58484
293345;58960
298397;57773
281916;58229
275979;67249
271848;64619
284651;57638
276856;57460
287830;59181
292419;64451
284900;60523
276941;72254
278342;60840
290047;58427
282878;58719
281151;60676
274268;70767
278534;64501
282053;59583
287599;60881
288421;58328
283149;59041
288815;60696
297441;67155
373297;60506
290770;63803
303567;76833
300727;60196
284340;60062
288335;74232
296171;66372
286152;60365
287229;59909
304016;64935
282054;62891
292752;66169
293692;67174
302682;59803
281434;66455
299748;60629
295454;60190
296336;76412
292566;63523
301677;68240
295087;65170
287936;64008
303436;61968
298654;61947
299438;60451
304911;64650
298010;64154
310185;72183
295764;61194
293563;59661
305118;61806
302259;62832
311727;67836
309007;60693
305507;67459
297913;72930
305751;64723
305819;65065
296654;67809
299072;62176
309711;60901
322587;61899
313371;63569
306193;62362
313821;62261
315189;61685
318948;64626
311490;64378
308254;66512
316553;66044
308038;74584
296532;68779
303077;73520
313109;70316
323057;63035
317963;66838
312513;63572
322110;65710
339116;63919
315067;64191
304110;67423
315724;70006
323125;65026
325015;70794
306784;68387
310697;76511
314009;67594
311134;65958
311791;64773
325640;64769
321556;68179
331237;64627
320267;72668
317392;64728
319908;72818
317545;64866
318703;72546
334567;65356
323169;67347
312437;66701
323577;69224
322887;71154
315585;71201
312147;66327
318873;68284
325288;63347
327961;65439
326812;67179
334993;64159
325645;64664
350178;66718
336224;63884
320612;64605
327547;64304
333402;64148
324301;71869
324908;71969
323697;65344
340821;64956
324266;66889
325540;77656
329669;75310
336546;66953
340377;66096
343191;79838
336801;70563
331668;83561
326108;80236
325737;68446
348903;72394
336718;74227
341013;73898
331574;75820
327248;66909
340180;67261
347322;70421
327574;66580
340333;72217
335818;68977
341665;75986
341257;66849
333846;66962
338938;77244
334616;69059
344752;68112
337913;72264
352093;74674
341220;77581
337813;75009
347285;80169
348235;76122
338654;76235
333062;76635
346795;72996
340665;75639
346041;69895
344852;78437
348559;81909
343399;68221
348026;68675
352927;81243
340437;68984
341357;69118
351169;68886
347570;67484
358958;67723
354090;69366
350093;68419
351475;72719
357790;76178
364134;73876
346163;69724
348930;69607
361455;68889
358062;67659
358871;73355
372695;89052
399570;78295
365399;71113
352218;68500
354924;68681
363165;69508
347847;70038
367477;69850
362050;70962
374795;75322
370223;74263
358687;70961
356440;69222
364359;70769
362598;68920
361892;70087
357540;69837
373687;69093
357041;81111
357445;80522
371089;89873
368922;71937
373330;73798
367656;74880
373897;69922
375253;70320
364130;76161
397717;78067
359536;73147
368309;77004
366346;83262
382797;73177
361041;71706
378514;70268
381885;72452
368290;70862
371444;71021
367594;71362
374725;78296
365145;77654
368982;75851
370201;72202
379600;72694
367862;71210
384101;71282
382562;72466
376284;70611
379379;72246
379072;78669
364997;84510
374171;72685
386076;72257
379305;71772
377607;71133
372709;71144
371790;74224
377264;71973
374025;80124
380063;91073
380672;86291
385996;79251
380745;74002
379937;75172
394809;77570
380021;82497
374518;81166
378322;83143
383787;74032
378526;73620
400427;73928
376923;72126
404559;74815
381733;84376
382137;76194
402762;73812
397710;73928
396478;79935
389416;80242
386261;80197
403437;83541
391865;75445
389440;73229
392960;73515
406879;78762
404485;85746
388383;84184
400210;82297
396417;73748
396481;72506
405103;74631
392507;81318
393706;77270
391096;75361
400667;75713
401207;74866
441812;86648
402419;80853
407297;83040
403991;75022
392025;75355
399668;81960
414698;83298
393295;77295
408397;75572
393013;82383
397498;90804
403716;89268
406835;80154
408665;80609
409304;78865
419612;75724
395994;90390
397915;79496
406663;79572
399382;76807
413437;82282
398845;80789
401535;81590
421235;78905
421544;74634
413768;77562
409141;84334
415480;86944
418611;76619
417147;75225
413771;77643
421338;78284
406300;76880
420698;83393
436205;77328
463018;93989
422734;78231
423730;77608
426327;80004
416284;87477
435136;78330
423969;76814
398824;76256
407352;87457
419736;87415
422241;79428
412607;76734
424398;79685
423775;88204
411619;80181
422683;94859
410039;76698
434326;98260
421754;79585
432694;83262
429509;78658
423803;92354
424929;82266
423957;88768
435153;76961
432900;99117
427230;83025
420741;80820
450848;90591
432310;98783
440175;85042
433510;84922
424257;95841
422570;84491
424697;80425
525124;81774
447199;82504
426186;80787
425102;86632
435249;80482
439279;93204
423534;80866
435329;80159
443182;80968
450321;81286
441691;87963
455241;87390
436487;85869
428017;85818
434237;78373
444008;83704
451130;90662
450918;78576
441520;83522
433928;80881
451865;81006
442126;78942
455387;87177
440543;80773
436405;82144
447487;92382
445735;95803
459802;82341
449668;79562
442593;87237
444016;81170
446481;81372
455402;80561
453774;81833
453561;87411
452418;85549
487570;83118
460273;83445
449342;85005
447632;83714
451129;80439
466080;82794
450783;84255
458796;82513
460558;80974
469890;82847
454270;82395
467651;82303
473373;89951
458779;85424
453985;88572
458653;85602
458919;86444
469055;85047
462623;86527
457015;85639
461927;90101
474524;84651
454621;83931
461002;84822
464635;90480
467762;87414
468051;121234
460861;84703
457977;88707
465198;86208
463523;84661
474723;90835
467445;86609
473063;87572
470771;90629
463160;86374
472193;88715
475715;95371
461083;94410
470472;91810
488347;92961
458428;87585
475233;107312
493183;89650
464072;87500
471327;87275
466031;87431
472145;94553
480969;88374
469382;84971
470645;92746
476889;95583
487927;85516
471778;100363
484871;85074
472152;101247
487273;86156
491969;90683
486121;94942
470223;86267
486174;86626
479260;91017
492151;89530
477286;90884
481868;86514
481037;87206
494148;88970
518131;85324
533253;107446
491155;84753
486141;95248
486526;91247
498347;99360
484120;96027
488836;88792
483347;88143
485660;85472
485240;92915
486745;88712
495368;86916
496195;88903
499214;97264
502104;89395
488144;86482
499579;95112
511862;86598
509820;93912
488651;97260
487029;88825
501527;99845
503538;88831
513145;88978
498040;93321
497979;95486
508870;93255
507732;102207
509667;88633
496836;95403
492580;88988
499245;90925
508222;93726
500512;90011
499355;94243
504980;95908
496525;91124
516007;90640
505254;93269
508900;100374
517613;90796
505600;90016
516441;117112
563917;89583
508361;88993
516376;88515
530416;90633
518460;90628
518819;114366
530042;94279
516846;96997
519837;89344
607533;109508
539608;98742
522815;91320
511868;92094
548963;101157
512953;96227
509204;90994
516581;90645
527623;94444
538455;96383
531041;96935
525651;91964
518559;91560
539776;97378
525140;94518
533834;91768
525037;93001
538387;92683
527773;98549
525637;96920
526441;101574
515765;96446
533712;97567
544717;102908
549345;95190
516382;94818
528817;95674
560323;94108
535764;97777
528913;92220
548569;92755
525812;91900
552996;91730
520231;92402
534822;92242
534450;105872
527494;99910
543487;99203
533485;104032
533213;97991
541040;92225
544944;92718
539362;99465
541649;97359
545037;112021
541711;97226
553173;104698
580364;98111
548110;96836
544859;100615
540390;98472
556082;103035
543282;94980
570654;94189
557758;114437
550394;93412
581563;116347
594688;115618
537566;101061
551678;96211
552220;95039
553023;95830
551377;106534
556779;94153
545123;103645
543252;103451
562241;98775
556755;94082
559437;94670
546334;114526
565590;93439
689545;94758
555494;103664
553349;109070
576413;102180
557386;133249
685242;144133
622439;95611
577108;95447
560698;102353
557538;102199
567768;101006
584090;99121
572952;98160
594083;119572
571362;96620
569275;106008
618157;112558
552039;104144
580296;108483
628717;108505
621747;126678
590808;95715
629725;104441
641127;114571
743704;119819
698692;110794
680507;142363
728655;119615
710027;138586
661738;116000
632017;127713
634689;114531
670493;107303
570219;127240
681733;103925
622695;126993
603509;105273
639455;114745
590613;113398
643183;99486
717374;140875
